# Atom1,Atom2,Rcov1,Rcov2,Covalent,DiffSkin,DiffWithoutSkin
Ac,O,1.88,0.68,2.7326,-0.2774,0.1726
Ac,F,1.88,0.64,2.5865,-0.3835,0.0665
Ac,Cl,1.88,0.99,3.0865,-0.2335,0.2165
Ac,Br,1.88,1.21,3.2273,-0.3127,0.1373
Ag,O,1.59,0.68,2.8114,0.0914,0.5414
Ag,S,1.59,1.02,3.0884,0.0284,0.4784
Ag,F,1.59,0.64,2.7694,0.0894,0.5394
Ag,Cl,1.59,0.99,3.0594,0.0294,0.4794
Ag,Br,1.59,1.21,2.3764,-0.8736,-0.4236
Ag,I,1.59,1.4,2.5364,-0.9036,-0.4536
Ag,Se,1.59,1.22,3.2,-0.06,0.39
Ag,Te,1.59,1.47,2.6664,-0.8436,-0.3936
Ag,N,1.59,0.68,2.0064,-0.7136,-0.2636
Ag,P,1.59,0.75,2.3764,-0.4136,0.0364
Ag,As,1.59,1.21,2.4564,-0.7936,-0.3436
Ag,H,1.59,0.23,1.6564,-0.6136,-0.1636
Al,O,1.35,0.68,2.1074,-0.3726,0.0774
Al,S,1.35,1.02,2.6665,-0.1535,0.2965
Al,Se,1.35,1.22,2.7265,-0.2935,0.1565
Al,Te,1.35,1.47,2.9365,-0.3335,0.1165
Al,F,1.35,0.64,2.0015,-0.4385,0.0115
Al,Cl,1.35,0.99,2.4885,-0.3015,0.1485
Al,Br,1.35,1.21,2.6565,-0.3535,0.0965
Al,I,1.35,1.4,2.8665,-0.3335,0.1165
Al,N,1.35,0.68,2.2465,-0.2335,0.2165
Al,P,1.35,0.75,2.6965,0.1465,0.5965
Al,As,1.35,1.21,2.7565,-0.2535,0.1965
Al,H,1.35,0.23,1.9065,-0.1235,0.3265
Am,O,1.51,0.68,2.7165,0.0765,0.5265
Am,F,1.51,0.64,2.6194,0.0194,0.4695
Am,Cl,1.51,0.99,3.0894,0.1394,0.5894
Am,Br,1.51,1.21,3.2294,0.0594,0.5094
As,S,1.21,1.02,2.8465,0.1665,0.6165
As,Se,1.21,1.22,2.9865,0.1065,0.5565
As,O,1.21,0.68,2.2455,-0.0945,0.3555
As,Te,1.21,1.47,3.1065,-0.0235,0.4265
As,F,1.21,0.64,2.1565,-0.1435,0.3065
As,Cl,1.21,0.99,2.6165,-0.0335,0.4165
As,Br,1.21,1.21,2.8065,-0.0635,0.3865
As,I,1.21,1.4,3.0365,-0.0235,0.4265
As,C,1.21,0.68,2.3865,0.0465,0.4965
Au,Cl,1.5,0.99,2.883,-0.0571,0.3929
Au,I,1.5,1.4,3.213,-0.137,0.313
Au,O,1.5,0.68,2.3465,-0.2835,0.1665
Au,S,1.5,1.02,2.8326,-0.1374,0.3126
Au,F,1.5,0.64,2.3465,-0.2435,0.2065
Au,Br,1.5,1.21,2.7765,-0.3835,0.0665
Au,N,1.5,0.68,2.3826,-0.2474,0.2026
Au,Se,1.5,1.22,2.23,-0.94,-0.49
Au,Te,1.5,1.47,2.46,-0.96,-0.51
Au,P,1.5,0.75,2.19,-0.51,-0.06
Au,As,1.5,1.21,2.27,-0.89,-0.44
Au,H,1.5,0.23,1.42,-0.76,-0.31
B,O,0.83,0.68,1.8275,-0.1325,0.3175
B,S,0.83,1.02,2.2765,-0.0235,0.4265
B,Se,0.83,1.22,2.4065,-0.0935,0.3565
B,Te,0.83,1.47,2.6565,-0.0935,0.3565
B,F,0.83,0.64,1.7665,-0.1535,0.2965
B,Cl,0.83,0.99,2.1965,-0.0735,0.3765
B,Br,0.83,1.21,2.3365,-0.1535,0.2965
B,I,0.83,1.4,2.5565,-0.1235,0.3265
B,N,0.83,0.68,1.9385,-0.0215,0.4285
B,P,0.83,0.75,2.3765,0.3465,0.7965
B,As,0.83,1.21,2.4265,-0.0635,0.3865
B,H,0.83,0.23,1.5965,0.0865,0.5365
B,B,0.83,0.83,1.8585,-0.2515,0.1985
Ba,O,1.34,0.68,3.1479,0.6779,1.1279
Ba,S,1.34,1.02,3.662,0.8519,1.3019
Ba,Se,1.34,1.22,3.743,0.7329,1.183
Ba,Te,1.34,1.47,3.943,0.6829,1.133
Ba,F,1.34,0.64,3.051,0.6209,1.0709
Ba,Cl,1.34,0.99,3.553,0.7729,1.223
Ba,Br,1.34,1.21,3.743,0.743,1.193
Ba,I,1.34,1.4,3.993,0.8029,1.2529
Ba,N,1.34,0.68,3.333,0.8629,1.3129
Ba,P,1.34,0.75,3.483,0.943,1.393
Ba,As,1.34,1.21,3.69,0.69,1.14
Ba,H,1.34,0.23,3.083,1.0629,1.5129
Be,O,0.35,0.68,1.9875,0.5075,0.9575
Be,S,0.35,1.02,2.4365,0.6165,1.0665
Be,Se,0.35,1.22,2.5765,0.5565,1.0065
Be,Te,0.35,1.47,2.8165,0.5465,0.9965
Be,F,0.35,0.64,1.8875,0.4475,0.8975
Be,Cl,0.35,0.99,2.3665,0.5765,1.0265
Be,Br,0.35,1.21,2.5065,0.4965,0.9465
Be,I,0.35,1.4,2.7065,0.5065,0.9565
Be,N,0.35,0.68,2.1065,0.6265,1.0765
Be,P,0.35,0.75,2.5565,1.0065,1.4565
Be,As,0.35,1.21,2.6065,0.5965,1.0465
Be,H,0.35,0.23,1.7165,0.6865,1.1365
Bi,O,1.54,0.68,2.6608,-0.0092,0.4408
Bi,S,1.54,1.02,3.1329,0.1229,0.5729
Bi,Se,1.54,1.22,3.5,0.29,0.74
Bi,F,1.54,0.64,2.5529,-0.0771,0.3729
Bi,Cl,1.54,0.99,3.0429,0.0629,0.5129
Bi,Br,1.54,1.21,3.1799,-0.0201,0.4299
Bi,I,1.54,1.4,3.3829,-0.0071,0.4429
Bi,N,1.54,0.68,2.5633,-0.1067,0.3433
Bi,Te,1.54,1.47,3.0264,-0.4336,0.0164
Bi,P,1.54,0.75,2.7864,0.0464,0.4964
Bi,As,1.54,1.21,2.8764,-0.3236,0.1264
Bi,H,1.54,0.23,2.1264,-0.0936,0.3564
Bk,O,1.5,0.68,2.6433,0.0133,0.4633
Bk,F,1.5,0.64,2.5423,-0.0477,0.4023
Bk,Cl,1.5,0.99,3.0229,0.0829,0.5329
Bk,Br,1.5,1.21,3.1523,-0.0077,0.4423
Br,O,1.21,0.68,2.3565,0.0165,0.4665
Br,F,1.21,0.64,2.2065,-0.0935,0.3565
Br,Cl,1.21,0.99,2.333,-0.317,0.133
C,O,0.68,0.68,1.9725,0.1625,0.6125
C,Cl,0.68,0.99,2.11,-0.01,0.44
C,C,0.68,0.68,1.89,0.08,0.53
C,S,0.68,1.02,2.15,0.0,0.45
C,F,0.68,0.64,1.76,-0.01,0.44
C,Br,0.68,1.21,2.26,-0.08,0.37
C,N,0.68,0.68,1.792,-0.018,0.432
C,Se,0.68,1.22,2.02,-0.33,0.12
C,I,0.68,1.4,2.17,-0.36,0.09
C,Te,0.68,1.47,2.26,-0.34,0.11
C,P,0.68,0.75,1.94,0.06,0.51
C,H,0.68,0.23,1.2,-0.16,0.29
Ca,O,0.99,0.68,2.8306,0.7106,1.1606
Ca,S,0.99,1.02,3.313,0.8529,1.303
Ca,Se,0.99,1.22,3.423,0.763,1.213
Ca,Te,0.99,1.47,3.623,0.7129,1.163
Ca,F,0.99,0.64,2.705,0.625,1.075
Ca,Cl,0.99,0.99,3.233,0.803,1.253
Ca,Br,0.99,1.21,3.37,0.7199,1.1699
Ca,I,0.99,1.4,3.583,0.743,1.193
Ca,N,0.99,0.68,3.0029,0.8829,1.3329
Ca,P,0.99,0.75,3.413,1.223,1.673
Ca,As,0.99,1.21,3.483,0.8329,1.283
Ca,H,0.99,0.23,2.693,1.023,1.473
Cd,O,1.69,0.68,2.767,-0.0531,0.3969
Cd,S,1.69,1.02,3.167,0.0069,0.457
Cd,Se,1.69,1.22,3.263,-0.0971,0.3529
Cd,Te,1.69,1.47,3.453,-0.1571,0.2929
Cd,F,1.69,0.64,2.674,-0.1061,0.344
Cd,Cl,1.69,0.99,3.093,-0.037,0.413
Cd,Br,1.69,1.21,3.213,-0.137,0.313
Cd,I,1.69,1.4,3.463,-0.077,0.373
Cd,N,1.69,0.68,2.823,0.0029,0.453
Cd,P,1.69,0.75,3.203,0.3129,0.763
Cd,As,1.69,1.21,3.293,-0.0571,0.3929
Cd,H,1.69,0.23,2.5229,0.1529,0.6029
Ce,O,1.83,0.68,2.8639,-0.0961,0.3539
Ce,S,1.83,1.02,3.3629,0.0629,0.5129
Ce,F,1.83,0.64,2.7545,-0.1655,0.2845
Ce,Cl,1.83,0.99,3.2529,-0.0171,0.4329
Ce,Br,1.83,1.21,3.4045,-0.0855,0.3645
Ce,I,1.83,1.4,3.6245,-0.0555,0.3945
Ce,N,1.83,0.68,2.7855,-0.1745,0.2755
Ce,Se,1.83,1.22,3.0464,-0.4536,-0.0036
Ce,Te,1.83,1.47,3.2264,-0.5236,-0.0736
Ce,P,1.83,0.75,3.0064,-0.0236,0.4264
Ce,As,1.83,1.21,3.0864,-0.4036,0.0464
Ce,H,1.83,0.23,2.3464,-0.1636,0.2864
Cf,O,1.5,0.68,2.6329,0.0029,0.4529
Cf,F,1.5,0.64,2.5323,-0.0577,0.3923
Cf,Cl,1.5,0.99,3.0129,0.0729,0.5229
Cf,Br,1.5,1.21,3.1423,-0.0177,0.4323
Cl,O,0.99,0.68,2.1665,0.0465,0.4965
Cl,F,0.99,0.64,2.1465,0.0665,0.5165
Cl,Cl,0.99,0.99,2.143,-0.287,0.163
Cm,O,1.5,0.68,2.7929,0.1629,0.6129
Cm,F,1.5,0.64,2.6829,0.0929,0.5429
Cm,Cl,1.5,0.99,3.1829,0.2429,0.6929
Co,H,1.33,0.23,1.9278,-0.0822,0.3678
Co,O,1.33,0.68,2.4049,-0.0551,0.3949
Co,S,1.33,1.02,2.6529,-0.1471,0.3029
Co,F,1.33,0.64,2.3529,-0.0671,0.3829
Co,Cl,1.33,0.99,2.7459,-0.0241,0.4259
Co,N,1.33,0.68,2.3629,-0.0971,0.3529
Co,C,1.33,0.68,2.1969,-0.2631,0.1869
Co,Br,1.33,1.21,2.3364,-0.6536,-0.2036
Co,I,1.33,1.4,2.5288,-0.6512,-0.2012
Co,Se,1.33,1.22,2.3964,-0.6036,-0.1536
Co,Te,1.33,1.47,2.6164,-0.6336,-0.1836
Co,P,1.33,0.75,2.3664,-0.1636,0.2864
Co,As,1.33,1.21,2.4364,-0.5536,-0.1036
Cr,O,1.35,0.68,2.4429,-0.0371,0.4129
Cr,F,1.35,0.64,2.4529,0.0129,0.4629
Cr,Cl,1.35,0.99,2.8029,0.0129,0.4629
Cr,Br,1.35,1.21,2.9729,-0.0371,0.4129
Cr,I,1.35,1.4,3.1929,-0.0071,0.4429
Cr,N,1.35,0.68,2.5152,0.0352,0.4852
Cr,S,1.35,1.02,2.7249,-0.0951,0.3549
Cr,Se,1.35,1.22,2.4464,-0.5736,-0.1236
Cr,Te,1.35,1.47,2.6764,-0.5936,-0.1436
Cr,P,1.35,0.75,2.4264,-0.1236,0.3264
Cr,As,1.35,1.21,2.4964,-0.5136,-0.0636
Cr,H,1.35,0.23,1.6764,-0.3536,0.0964
Cs,O,1.67,0.68,3.5364,0.7364,1.1864
Cs,S,1.67,1.02,4.2494,1.1094,1.5594
Cs,Se,1.67,1.22,4.2166,0.8766,1.3266
Cs,Te,1.67,1.47,4.4631,0.8731,1.3231
Cs,F,1.67,0.64,3.4994,0.7394,1.1894
Cs,Cl,1.67,0.99,3.9104,0.8004,1.2504
Cs,Br,1.67,1.21,4.0694,0.7394,1.1894
Cs,I,1.67,1.4,4.4094,0.8894,1.3394
Cs,N,1.67,0.68,3.9494,1.1494,1.5994
Cs,P,1.67,0.75,3.6419,0.7719,1.2219
Cs,As,1.67,1.21,4.1594,0.8294,1.2794
Cs,H,1.67,0.23,3.5594,1.2094,1.6594
Cu,O,1.52,0.68,2.473,-0.1771,0.2729
Cu,S,1.52,1.02,2.7609,-0.2291,0.2209
Cu,Se,1.52,1.22,2.763,-0.4271,0.0229
Cu,F,1.52,0.64,2.463,-0.1471,0.303
Cu,Cl,1.52,0.99,2.7529,-0.2071,0.243
Cu,Br,1.52,1.21,2.893,-0.2871,0.1629
Cu,I,1.52,1.4,3.018,-0.3521,0.0979
Cu,N,1.52,0.68,2.493,-0.1571,0.2929
Cu,P,1.52,0.75,2.6565,-0.0635,0.3865
Cu,As,1.52,1.21,2.719,-0.4611,-0.0111
Cu,C,1.52,0.68,2.3265,-0.3235,0.1265
Cu,Te,1.52,1.47,2.8765,-0.5635,-0.1135
Cu,H,1.52,0.23,1.8165,-0.3835,0.0665
Dy,O,1.75,0.68,2.6565,-0.2235,0.2265
Dy,F,1.75,0.64,2.5294,-0.3106,0.1394
Dy,Cl,1.75,0.99,3.0194,-0.1706,0.2794
Dy,Br,1.75,1.21,3.1694,-0.2406,0.2094
Dy,I,1.75,1.4,3.3994,-0.2006,0.2494
Dy,S,1.75,1.02,2.823,-0.397,0.053
Dy,Se,1.75,1.22,2.81,-0.61,-0.16
Dy,Te,1.75,1.47,3.22,-0.45,0.0
Dy,N,1.75,0.68,2.38,-0.5,-0.05
Dy,P,1.75,0.75,2.77,-0.18,0.27
Dy,As,1.75,1.21,3.14,-0.27,0.18
Dy,H,1.75,0.23,2.09,-0.34,0.11
Er,O,1.73,0.68,2.6365,-0.2235,0.2265
Er,S,1.73,1.02,3.2765,0.0765,0.5265
Er,Se,1.73,1.22,3.1865,-0.2135,0.2365
Er,F,1.73,0.64,2.5105,-0.3095,0.1405
Er,Cl,1.73,0.99,2.9994,-0.1706,0.2794
Er,Br,1.73,1.21,3.1494,-0.2406,0.2094
Er,I,1.73,1.4,3.3894,-0.1906,0.2595
Er,Te,1.73,1.47,3.22,-0.43,0.02
Er,N,1.73,0.68,2.36,-0.5,-0.05
Er,P,1.73,0.75,2.75,-0.18,0.27
Er,As,1.73,1.21,3.18,-0.21,0.24
Er,H,1.73,0.23,2.06,-0.35,0.1
Es,O,1.5,0.68,2.7014,0.0714,0.5214
Eu,O,1.99,0.68,2.9425,-0.1775,0.2725
Eu,S,1.99,1.02,3.3795,-0.0805,0.3695
Eu,F,1.99,0.64,2.8355,-0.2445,0.2055
Eu,Cl,1.99,0.99,3.3255,-0.1045,0.3455
Eu,Br,1.99,1.21,3.4655,-0.1845,0.2655
Eu,I,1.99,1.4,3.6955,-0.1445,0.3055
Eu,N,1.99,0.68,2.9555,-0.1645,0.2855
Eu,Se,1.99,1.22,2.899,-0.761,-0.311
Eu,Te,1.99,1.47,3.089,-0.821,-0.371
Eu,P,1.99,0.75,2.859,-0.331,0.119
Eu,As,1.99,1.21,2.939,-0.711,-0.261
Eu,H,1.99,0.23,2.189,-0.481,-0.031
Fe,O,1.34,0.68,2.4469,-0.0231,0.4269
Fe,S,1.34,1.02,2.8379,0.0279,0.4779
Fe,F,1.34,0.64,2.3629,-0.0671,0.3829
Fe,Cl,1.34,0.99,2.8629,0.0829,0.5329
Fe,Br,1.34,1.21,2.8952,-0.1048,0.3452
Fe,I,1.34,1.4,3.1552,-0.0348,0.4152
Fe,N,1.34,0.68,2.4819,0.0119,0.4619
Fe,C,1.34,0.68,2.2519,-0.2181,0.2319
Fe,Se,1.34,1.22,2.4364,-0.5736,-0.1236
Fe,Te,1.34,1.47,2.6864,-0.5736,-0.1236
Fe,P,1.34,0.75,2.4264,-0.1136,0.3364
Fe,As,1.34,1.21,2.5064,-0.4936,-0.0436
Fe,H,1.34,0.23,1.6864,-0.3336,0.1164
Ga,Se,1.22,1.22,3.413,0.5229,0.973
Ga,O,1.22,0.68,2.1865,-0.1635,0.2865
Ga,S,1.22,1.02,2.6195,-0.0705,0.3795
Ga,F,1.22,0.64,2.1465,-0.1635,0.2865
Ga,Cl,1.22,0.99,2.5265,-0.1335,0.3165
Ga,Br,1.22,1.21,2.6426,-0.2374,0.2126
Ga,I,1.22,1.4,2.9165,-0.1535,0.2965
Ga,Te,1.22,1.47,2.59,-0.55,-0.1
Ga,N,1.22,0.68,1.96,-0.39,0.06
Ga,P,1.22,0.75,2.47,0.05,0.5
Ga,As,1.22,1.21,2.39,-0.49,-0.04
Ga,H,1.22,0.23,1.56,-0.34,0.11
Gd,O,1.79,0.68,2.7665,-0.1535,0.2965
Gd,F,1.79,0.64,3.1565,0.2765,0.7265
Gd,S,1.79,1.02,3.1365,-0.1235,0.3265
Gd,Cl,1.79,0.99,3.0635,-0.1665,0.2835
Gd,Br,1.79,1.21,3.1994,-0.2506,0.1995
Gd,I,1.79,1.4,3.4194,-0.2206,0.2294
Gd,Se,1.79,1.22,2.85,-0.61,-0.16
Gd,Te,1.79,1.47,3.24,-0.47,-0.02
Gd,N,1.79,0.68,2.42,-0.5,-0.05
Gd,P,1.79,0.75,2.81,-0.18,0.27
Gd,As,1.79,1.21,3.18,-0.27,0.18
Gd,H,1.79,0.23,2.13,-0.34,0.11
Ge,O,1.17,0.68,2.098,-0.202,0.248
Ge,S,1.17,1.02,2.567,-0.073,0.377
Ge,Se,1.17,1.22,2.7,-0.14,0.31
Ge,F,1.17,0.64,2.01,-0.25,0.2
Ge,Cl,1.17,0.99,2.49,-0.12,0.33
Ge,Br,1.17,1.21,2.35,-0.48,-0.03
Ge,I,1.17,1.4,2.55,-0.47,-0.02
Ge,Te,1.17,1.47,2.61,-0.48,-0.03
Ge,N,1.17,0.68,1.93,-0.37,0.08
Ge,P,1.17,0.75,2.37,-0.0,0.45
Ge,As,1.17,1.21,2.48,-0.35,0.1
Ge,H,1.17,0.23,1.6,-0.25,0.2
Ge,Ge,1.17,1.17,2.6,-0.19,0.26
O,H,0.68,0.23,1.2,-0.16,0.29
H,O,0.23,0.68,1.2,-0.16,0.29
H,F,0.23,0.64,1.1,-0.22,0.23
H,Cl,0.23,0.99,1.5,-0.17,0.28
H,N,0.23,0.68,1.2,-0.16,0.29
Hf,F,1.57,0.64,3.1829,0.5229,0.9729
Hf,O,1.57,0.68,2.3795,-0.3205,0.1295
Hf,Cl,1.57,0.99,2.7565,-0.2535,0.1965
Hf,Br,1.57,1.21,2.6264,-0.6036,-0.1536
Hf,S,1.57,1.02,2.6464,-0.3936,0.0564
Hf,Se,1.57,1.22,2.6764,-0.5636,-0.1136
Hf,Te,1.57,1.47,2.8764,-0.6136,-0.1636
Hf,I,1.57,1.4,2.8364,-0.5836,-0.1336
Hf,N,1.57,0.68,2.2464,-0.4536,-0.0036
Hf,P,1.57,0.75,2.6364,-0.1336,0.3164
Hf,As,1.57,1.21,2.7164,-0.5136,-0.0636
Hf,H,1.57,0.23,1.9364,-0.3136,0.1364
Hg,O,1.7,0.68,2.8694,0.0394,0.4894
Hg,F,1.7,0.64,2.8829,0.0929,0.5429
Hg,Cl,1.7,0.99,3.2494,0.1094,0.5594
Hg,S,1.7,1.02,3.4209,0.2509,0.7009
Hg,Br,1.7,1.21,3.0929,-0.2671,0.1829
Hg,I,1.7,1.4,3.3329,-0.2171,0.2329
Hg,Se,1.7,1.22,2.8264,-0.5436,-0.0936
Hg,Te,1.7,1.47,2.7664,-0.8536,-0.4036
Hg,N,1.7,0.68,2.1764,-0.6536,-0.2036
Hg,P,1.7,0.75,2.5764,-0.3236,0.1264
Hg,As,1.7,1.21,2.6564,-0.7036,-0.2536
Hg,H,1.7,0.23,1.8664,-0.5136,-0.0636
Hg,Hg,1.7,1.7,3.1952,-0.6548,-0.2048
Ho,O,1.74,0.68,2.6705,-0.1995,0.2505
Ho,S,1.74,1.02,3.1355,-0.0745,0.3755
Ho,F,1.74,0.64,2.5616,-0.2684,0.1816
Ho,Cl,1.74,0.99,3.0516,-0.1284,0.3216
Ho,Br,1.74,1.21,3.2016,-0.1984,0.2516
Ho,I,1.74,1.4,3.4416,-0.1484,0.3016
Ho,Se,1.74,1.22,2.849,-0.561,-0.111
Ho,Te,1.74,1.47,3.039,-0.621,-0.171
Ho,N,1.74,0.68,2.419,-0.451,-0.001
Ho,P,1.74,0.75,2.799,-0.141,0.309
Ho,As,1.74,1.21,2.879,-0.521,-0.071
Ho,H,1.74,0.23,2.119,-0.301,0.149
I,I,1.4,1.4,2.4,-0.85,-0.4
I,F,1.4,0.64,3.183,0.6929,1.143
I,Cl,1.4,0.99,3.333,0.493,0.943
I,O,1.4,0.68,2.4765,-0.0535,0.3965
In,Cl,1.63,0.99,3.5294,0.4594,0.9094
In,O,1.63,0.68,2.4649,-0.2951,0.1549
In,S,1.63,1.02,2.9329,-0.1671,0.2829
In,F,1.63,0.64,2.3549,-0.3651,0.0849
In,Br,1.63,1.21,3.0533,-0.2367,0.2133
In,I,1.63,1.4,3.1929,-0.2871,0.1629
In,Co,1.63,1.33,3.1363,-0.2737,0.1763
In,Mn,1.63,1.35,3.1473,-0.2827,0.1673
In,Se,1.63,1.22,2.6264,-0.6736,-0.2236
In,Te,1.63,1.47,2.8464,-0.7036,-0.2536
In,N,1.63,0.68,2.1864,-0.5736,-0.1236
In,P,1.63,0.75,2.6864,-0.1436,0.3064
In,As,1.63,1.21,2.6664,-0.6236,-0.1736
In,H,1.63,0.23,1.8764,-0.4336,0.0164
Ir,O,1.32,0.68,2.2775,-0.1725,0.2775
Ir,F,1.32,0.64,2.15,-0.26,0.19
Ir,Cl,1.32,0.99,2.5675,-0.1925,0.2575
Ir,S,1.32,1.02,2.43,-0.36,0.09
Ir,Se,1.32,1.22,2.56,-0.43,0.02
Ir,Te,1.32,1.47,2.76,-0.48,-0.03
Ir,Br,1.32,1.21,2.5,-0.48,-0.03
Ir,I,1.32,1.4,2.71,-0.46,-0.01
Ir,N,1.32,0.68,2.11,-0.34,0.11
Ir,P,1.32,0.75,2.51,-0.01,0.44
Ir,As,1.32,1.21,2.59,-0.39,0.06
Ir,H,1.32,0.23,1.81,-0.19,0.26
K,O,1.33,0.68,3.2514,0.7914,1.2414
K,S,1.33,1.02,3.7928,0.9928,1.4428
K,Se,1.33,1.22,4.0019,1.0019,1.4519
K,Te,1.33,1.47,4.2328,0.9828,1.4328
K,F,1.33,0.64,3.1114,0.6914,1.1414
K,Cl,1.33,0.99,3.6598,0.8898,1.3398
K,Br,1.33,1.21,3.8513,0.8613,1.3113
K,I,1.33,1.4,4.1172,0.9372,1.3872
K,N,1.33,0.68,3.4194,0.9594,1.4094
K,P,1.33,0.75,3.4494,0.9194,1.3694
K,As,1.33,1.21,3.9494,0.9594,1.4094
K,H,1.33,0.23,3.2194,1.2094,1.6594
Kr,F,1.91,0.64,2.6755,-0.3245,0.1255
La,O,1.87,0.68,2.9098,-0.0902,0.3598
La,S,1.87,1.02,3.3559,0.0159,0.4659
La,Se,1.87,1.22,3.4529,-0.0871,0.3629
La,Te,1.87,1.47,3.6529,-0.1371,0.3129
La,F,1.87,0.64,2.7929,-0.1671,0.2829
La,Cl,1.87,0.99,3.3345,0.0245,0.4745
La,Br,1.87,1.21,3.4329,-0.0971,0.3529
La,I,1.87,1.4,3.6429,-0.0771,0.3729
La,N,1.87,0.68,3.0529,0.0529,0.5029
La,P,1.87,0.75,3.3229,0.2529,0.7029
La,As,1.87,1.21,3.5129,-0.0171,0.4329
La,H,1.87,0.23,2.7729,0.2229,0.6729
Li,O,0.68,0.68,2.6009,0.7909,1.2409
Li,S,0.68,1.02,3.0248,0.8748,1.3248
Li,Se,0.68,1.22,3.2433,0.8933,1.3433
Li,Te,0.68,1.47,3.425,0.825,1.275
Li,F,0.68,0.64,2.3428,0.5728,1.0228
Li,Cl,0.68,0.99,2.9181,0.7981,1.2481
Li,Br,0.68,1.21,3.1165,0.7765,1.2265
Li,I,0.68,1.4,3.3768,0.8468,1.2968
Li,N,0.68,0.68,2.6621,0.8521,1.3021
Lu,O,1.72,0.68,2.5775,-0.2725,0.1775
Lu,S,1.72,1.02,3.0365,-0.1535,0.2965
Lu,Se,1.72,1.22,3.1665,-0.2235,0.2265
Lu,Te,1.72,1.47,3.3565,-0.2835,0.1665
Lu,F,1.72,0.64,2.4825,-0.3275,0.1225
Lu,Cl,1.72,0.99,2.9694,-0.1906,0.2594
Lu,Br,1.72,1.21,3.1194,-0.2605,0.1895
Lu,I,1.72,1.4,3.3694,-0.2006,0.2494
Lu,N,1.72,0.68,2.7165,-0.1335,0.3165
Lu,P,1.72,0.75,3.1165,0.1965,0.6465
Lu,As,1.72,1.21,3.1965,-0.1835,0.2665
Lu,H,1.72,0.23,2.4265,0.0265,0.4765
Mg,O,1.1,0.68,2.4182,0.1882,0.6382
Mg,S,1.1,1.02,2.8929,0.3229,0.7729
Mg,Se,1.1,1.22,3.0329,0.2629,0.7129
Mg,Te,1.1,1.47,3.2429,0.2229,0.6729
Mg,F,1.1,0.64,2.2909,0.1009,0.5509
Mg,Cl,1.1,0.99,2.7929,0.2529,0.7029
Mg,Br,1.1,1.21,2.9929,0.2329,0.6829
Mg,I,1.1,1.4,3.1729,0.2229,0.6729
Mg,N,1.1,0.68,2.5629,0.3329,0.7829
Mg,P,1.1,0.75,3.0029,0.7029,1.1529
Mg,As,1.1,1.21,3.0929,0.3329,0.7829
Mg,H,1.1,0.23,2.2429,0.4629,0.9129
Mn,O,1.35,0.68,2.5165,0.0365,0.4865
Mn,S,1.35,1.02,2.9329,0.1129,0.5629
Mn,F,1.35,0.64,2.4109,-0.0291,0.4209
Mn,Cl,1.35,0.99,2.8459,0.0559,0.5059
Mn,Br,1.35,1.21,3.0529,0.0429,0.4929
Mn,I,1.35,1.4,3.2329,0.0329,0.4829
Mn,N,1.35,0.68,2.5619,0.0819,0.5319
Mn,Se,1.35,1.22,2.4764,-0.5436,-0.0936
Mn,Te,1.35,1.47,2.7064,-0.5636,-0.1136
Mn,P,1.35,0.75,2.3964,-0.1536,0.2964
Mn,As,1.35,1.21,2.5164,-0.4936,-0.0436
Mn,H,1.35,0.23,1.7064,-0.3236,0.1264
Mo,S,1.47,1.02,2.8007,-0.1393,0.3107
Mo,Cl,1.47,0.99,2.8045,-0.1055,0.3445
